-3.363928244913267918e-01,-1.310968345364426539e-03,3.363928244880298735e-01,3.337708877975866795e-01,-3.337708877952536568e-01
2.451177413045128693e-06,-2.387009377235717317e-13,-2.451177413487215517e-06,-2.451177890092082201e-06,2.451177889994937686e-06
2.449463915341019361e-07,-3.980542761937059225e-11,-2.449463915588090401e-07,-2.450260024027678396e-07,2.450260023767469875e-07
-2.263172094269248191e+01,-2.949521891477656088e-01,2.263172094291076064e+01,2.204181656457612348e+01,-2.204181656459695660e+01
-1.021794500694568342e-01,-1.297294753210851727e-02,1.021794500629766844e-01,7.623355500457940082e-02,-7.623355500618345104e-02
-5.457370379824055817e-02,-1.722156500728080630e-01,5.457370379917847458e-02,-2.898575963463372318e-01,2.898575963481562212e-01
4.283871433462260736e-04,-2.228777578089249247e-06,-4.283871433443664500e-04,-4.328446985155665061e-04,4.328446985084610787e-04
-8.473458161010057665e+00,-7.685920047599716434e-03,8.473458161024609581e+00,8.458086320912272527e+00,-8.458086320955771953e+00
-1.351805558896745918e-03,-7.921665745105275483e-05,1.351805558897467563e-03,1.193372243936702271e-03,-1.193372243847079517e-03
3.613081584556140447e-05,-1.419777461191226979e-07,-3.613081584497024323e-05,-3.641477133742299088e-05,3.641477133786708009e-05
8.747068952485517745e-04,-2.440485697242831183e-07,-8.747068952175141021e-04,-8.751949923961888089e-04,8.751949923890833816e-04
8.514549715599171379e-09,-7.088763137373086002e-17,-8.514549714594421559e-09,-8.514549856733326372e-09,8.514549858576470065e-09
9.620214400818917047e-09,-7.505741877010530365e-15,-9.620214401137583415e-09,-9.620229411699821043e-09,9.620229412133501912e-09
1.871857230172774278e-05,-6.900499916684034874e-05,-1.871857233481932781e-05,-1.567285706365537101e-04,1.567285706371990273e-04
-2.847145601513556556e-03,-2.424959728271875554e-04,2.847145603482204024e-03,2.362153655970478106e-03,-2.362153655894871918e-03
3.067418519826965468e-06,-4.756286288278843256e-09,-3.067418519187015136e-06,-3.076931092252203903e-06,3.076931093914936355e-06
-2.378474395993180224e+00,-5.077119711206969782e-04,2.378474395991361234e+00,2.377458972046657237e+00,-2.377458972048771102e+00
9.598416481054528049e-03,-6.233020757911492387e-04,-9.598416483640903607e-03,-1.084502063380909931e-02,1.084502063258696580e-02
1.797611132698782450e-09,-9.425540919003790962e-18,-1.797611132864362915e-09,-1.797611151295799847e-09,1.797611151512640282e-09
-1.257944806035375223e+02,-8.684903237259219977e-02,1.257944806049345061e+02,1.256207825402582898e+02,-1.256207825401797891e+02
5.611958503616981675e-04,-2.232685880822527194e-05,-5.611958503948244470e-04,-6.058495679752695651e-04,6.058495679326370009e-04
6.903328104328546044e-05,-8.256013065918385769e-09,-6.903328107910056133e-05,-6.904979304431062281e-05,6.904979306909808656e-05
-5.647206774232314157e-06,-4.423694491722009211e-07,5.647206774428426002e-06,4.762467875839748645e-06,-4.762467874286357983e-06
4.032585934444796294e+00,-3.263078150978344916e-02,-4.032585934503003955e+00,-4.097847497629118152e+00,4.097847497439943254e+00
2.266707350279784094e-03,-2.803889639448337977e-03,-2.266707350372598739e-03,-7.874486629233956592e-03,7.874486629191324027e-03
-2.210603547211894693e+01,-1.188613181482189951e+01,2.210603547212667763e+01,-1.666228157530895260e+00,1.666228157526347786e+00
-4.705873244582107873e+00,-1.735840757139305301e-01,4.705873244667600375e+00,4.358705093239677808e+00,-4.358705093211028725e+00
-5.344146715863806740e-04,-1.478402856606011518e-04,5.344146728134546720e-04,2.387341003091084535e-04,-2.387341002929588285e-04
-3.019613964132731780e+02,-1.358171583027245788e+02,3.019613964135060087e+02,3.032707980799188618e+01,-3.032707980801933445e+01
-1.350249658681993044e-05,-8.988422959704454963e-08,1.350249661413727154e-05,1.332272812857822949e-05,-1.332272812248902483e-05
-7.841877086595559376e+00,-6.882519022638240003e+00,7.841877086553722620e+00,-5.923160958773223683e+00,5.923160958671360277e+00
7.682545006845870050e-04,-1.386994403844480056e-05,-7.682545005991414655e-04,-7.959943888429243941e-04,7.959943887669851392e-04
-7.548464347131084651e+01,-3.395701185369306074e+01,7.548464347119443119e+01,7.570619763834002924e+00,-7.570619763821014203e+00
-6.698174706635654729e+00,-2.921648520127859399e-03,6.698174706631107256e+00,6.692331409592175540e+00,-6.692331409605685622e+00
-9.118048750364323496e+00,-1.336414917512788625e+00,9.118048750380694401e+00,6.445218915348682742e+00,-6.445218915367149748e+00
-2.342729755545041453e-04,-7.809544792187481977e-05,2.342729755042682882e-04,7.808207970451028733e-05,-7.808207971748970522e-05
4.082082653656016191e-01,-4.709839750081437453e-03,-4.082082653767429292e-01,-4.176279448693094309e-01,4.176279448638524627e-01
5.782147055201969366e-03,-2.537941498119055598e-04,-5.782147055469977204e-03,-6.289735355309744591e-03,6.289735354783942967e-03
-3.285960608174675144e+03,-1.600722170155150025e+03,3.285960608175955713e+03,8.451626786565705629e+01,-8.451626786560518667e+01
5.718618969511446437e-02,-8.053879026839377625e-04,-5.718618969513045158e-02,-5.879696550073276740e-02,5.879696550027802004e-02
9.825438134010684297e-08,-6.154215490734612110e-14,-9.825438133936881258e-08,-9.825450442103519921e-08,9.825450442493832703e-08
-1.591877702695865082e+01,-5.343655579779756692e+00,1.591877702611964196e+01,5.231465867344998522e+00,-5.231465867342194542e+00
-3.477845065947622061e+01,-8.120234493300550194e-03,3.477845065982546657e+01,3.476221019084142938e+01,-3.476221019083459396e+01
5.149876128052710555e-02,-2.125886997119459925e-03,-5.149876128416508436e-02,-5.575053531356388703e-02,5.575053525535622612e-02
4.738581609850522902e-04,-3.020204351672999982e-06,-4.738581609444736387e-04,-4.798985696656821176e-04,4.798985695515511907e-04
5.524503224963361794e-05,-1.022512017956274568e-11,-5.524503225018406738e-05,-5.524505269791091244e-05,5.524505269960400256e-05
9.307926772464489560e-07,-6.195073291733133192e-12,-9.307926772672558968e-07,-9.308050673006995623e-07,9.308050673562107136e-07
1.956454152835102045e-04,-8.734503636373009417e-07,-1.956454152605147101e-04,-1.973923160357854423e-04,1.973923160250024011e-04
-6.357745941945429358e-04,-2.569510997744846391e-09,6.357745929861380318e-04,6.357694551874038327e-04,-6.357694551866188704e-04
8.975785835469044408e-08,-1.966404646587066818e-13,-8.975785836806693396e-08,-8.975825163248102312e-08,8.975825162987893791e-08
